Título
"Blancanieves y los Siete Enanitos"
"Pinocho"
"Fantasía"
"Dumbo"
"Bambi"
"Saludos amigos"
"Los tres caballeros"
"Música maestro"
"Las aventuras de Bongo, Mickey y las judías mágicas"
"Tiempo de melodía"
"La leyenda de Sleepy Hollow y el Señor Sapo"
"Cenicienta"
"Alicia en el país de las maravillas"
"Peter Pan"
"La Dama y el Vagabundo"
"La Bella Durmiente"
"101 Dálmatas"
"Merlín, el encantador"
"El Libro de la selva"
"Los Aristogatos"
"Robin Hood"
"Lo mejor de Winnie the Pooh"
"Los Rescatadores"
"Tod y Toby"
"Taron y el Caldero Mágico"
"Basil, el ratón superdetective"
"Oliver y su pandilla"
"La Sirenita"
"Los Rescatadores en Cangurolandia"
"La Bella y la Bestia"
"Aladdín"
"El Rey León"
"Pocahontas"
"El Jorobado de Notre Dame"
"Hércules"
"Mulan"
"Tarzán"
"Fantasía 2000"
"Dinosaurio"
"El emperador y sus locuras"
"Atlantis: El imperio perdido"
"Lilo & Stitch"
"El planeta del tesoro"
"La gran película de Piglet"
"Hermano oso"
"Zafarrancho en el rancho"
"Chicken Little"
"Salvaje"
"Descubriendo a los Robinsons"
"Bolt"
"Tiana y el Sapo"
"Enredados"
"Winnie the Pooh"
"¡Rompe Ralph!"
"Frozen: El reino de hielo"
"Big Hero 6"
"Zootrópolis"
"Vaiana"
"Ralph Rompe Internet"
"Encanto"
"Mary Poppins"
"La bruja novata"
